COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
BEACON BUILDING PRODUCTS,,,3601 Silver Dollar Cir,Austin,TX,78744,consignee," "," ",,NO," "
BEAUTY MANUFACTURING (COPPELL),,,1250 Freeport Parkway,Coppell,TX,75019,consignee," "," ",,NO," "
BEAUTY MANUFACTURING SOLUTIONS,,,800 W Bethel Rd Suite 100,Coppell,TX,75019,consignee," "," ",,NO," "
BELLTEC INDUSTRIES,,,2057 Commerce Street,Belton,TX,76513,consignee," "," ",,NO," "
BENGAL TRANSPORTATION SVCS.,,,37156 E Hwy 30,Geismar,LA,70734,consignee," "," ",,NO," "
BERGER TRANSFER,,,3021 MAGNUM RD,Houston,TX,77092,"consignee,shipper,containerReturn"," "," ",,NO," "
Best Buy,,,636 Highway 90 Alternate,Missouri City,TX,77489,consignee," "," ",,NO," "
BFS BELTWAY 8 MILLWORK,,,4343 Kennedy Commerce Dr,Houston,TX,77032,consignee," "," ",,NO," "
Big Tex Warehouse Houston,,,2928 Greens Road,Houston,TX,77032,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
BIRCH PLASTICS INC.,,,5957 S Loop E,Houston,TX,77033,consignee," "," ",,NO," "
BIRD TIRE SALES,,,5720 Bingle Rd,Houston,TX,77092,consignee," "," ",,NO," "
BIRMINGHAM RAIL & LOCOMOTIVE,,,15135 Jacintoport Blvd,Houston,TX,77015,consignee," "," ",,NO," "
BITMAIN TECHNOLOGIES,,,5301 POLK STREET BUILDING 5,Houston,TEXAS,77023,consignee," "," ",,NO," "
Black Diamond Structures,,,12306 Trail Driver,Austin,TX,78737,consignee," "," ",,NO," "
BLACK DIAMOND STRUCTURES,,,12306 Trail Driver,Austin,TX,78737,consignee," "," ",,NO," "
BLACKLINE COLD STORAGE,,,6330 Nita Wy,Baytown,TX,77523,consignee," "," ",,NO," "
BLESS OILFIELD SERVICES,,,6301 E Mt Houston Rd,Houston,TX,77050,consignee," "," ",,NO," "
BLUE HILLS,,,1701 Texas 237,Carmine,TX,78932,consignee," "," ",,NO," "
BLUE LINX,,,650 Gellhorn Drive,Houston,TX,77029,consignee," "," ",,NO," "
BLUE TX LLC,,,4330 Underwood Rd,Pasadena,TX,77507,"caller,consignee"," ",30,NO,NO," "
BLUESTONE HARDWOODS,,,1243 N Post Oak Rd,Houston,TX,77055,consignee," "," ",,NO," "
BLUEWATER STORAGE LLC,,,16720 Central Commerce Dr,Round Rock,TX,78664,consignee," "," ",,NO," "
BNSF LOGISTICS,6264953766,CECILIA GONZALEZ,545 Plaza Verde Dr,Houston,TX,77038,"consignee,shipper,containerReturn"," "," ",,NO," "
BOAHAUS LLC,,,1819 Turning Basin Drive suite 900,Houston,TX,77029,consignee," "," ",,NO," "
BOH FPU SYSTEMS,,,8720 Lambright Road,Houston,TX,77075,consignee," "," ",,NO," "
BOLNERS FIESTA PRODUCTS,,,426 Menchaca St,San Antonio,TX,78207,consignee," "," ",,NO," "
BOOKWORMS,,,10139 Stafford Centre Dr,Stafford,TX,77477,consignee," "," ",,NO," "
Boss Worth Papers,,,10425 Okanella Street,Houston,TX,77041,consignee," "," ",,NO," "
BOSWORTH PAPER,,,10425 Okanella St #600,Houston,TX,77041,consignee," "," ",,NO," "
BOUND FREIGHT,,,1620 Vauxhall Road,Union,NJ,07083,"caller,consignee"," ",30,NO,NO," "
BOYER CONTAINER SERVICES,,,8904 Fairbanks North Houston Rd,Houston,TX,77064,consignee," "," ",,NO," "
BPI-HOUSTON,,,10375 Tanner Rd,Houston,TX,77041,consignee," "," ",,NO," "
BRADY INDUSTRIES OF TX,,,10634 Tanner Road,Houston,TX,77041,consignee," "," ",,NO," "
BRANSON TEXAS,,,3010 East Front Street,Tyler,TX,75702,consignee," "," ",,NO," "
BRAY CONTROLS (USA),,,13333 Westland E Blvd,Houston,TX,77041,consignee," "," ",,NO," "
BREKTHRU BEVERAGE COLORADO,,,3980 Central Park Boulevard,Denver,CO,80238,consignee," "," ",,NO," "
BRENNTAG SOUTHWEST,,,1632 Haden Rd,Houston,TX,77015,consignee," "," ",,NO," "
BRILLIANCE RESOURCES,,,3773 RICHMOND AVENUE SUITE 598,Houston,TX,77046,"caller,consignee"," ",30,NO,NO," "
BROAD OCEAN MOTORS,,,18140 Kickapoo Road,Waller,TX,77484,consignee," "," ",,NO," "
BROKER BROTHERS,,,16541 Pointe Village Dr,Lutz,FL,33558,consignee," ",30,,NO," "
BRT,,,9770 Huffman-New Caney Rd,New Caney,TX,77357,consignee," "," ",,NO," "
BSW Greens Bayou,,,1632 Haden Road,Houston,TX,77015,consignee," "," ",,NO," "
Buddy's Home Furnishing,,,801 East Rancier Avenue,Killeen,TX,76541,consignee," "," ",,NO," "
BUILDING PLASTICS INC.,,,10375 Tanner Rd,Houston,TX,77041,consignee," "," ",,NO," "
Business Todah,,,8320 Plummer St,Houston,TX,77029,consignee," "," ",,NO," "
BYK USA INC.,,,4434 FM 1405,Baytown,TX,77523,consignee," "," ",,NO," "
C DAVIS ENTERPRISES,,,4700 Blaffer Street,Houston,TX,77028,consignee," "," ",,NO," "
C/ CONN'S HOME PLUS,,,1401 Rankin Rd,Houston,TX,77073,consignee," "," ",,NO," "
"C/ KM-LEVAN GROUP, INC",,,2314 Edwards St,Houston,TX,77007,consignee," "," ",,NO," "
C/ THE DUMP 620 THE DUMP,,,10251 North Fwy,Houston,TX,77037,consignee," "," ",,NO," "
C/MATHIS BROTHERS  FURNITURE,,,413 S Portland Ave,Oklahoma City,OK,73108,consignee," "," ",,NO," "
C&C,,,12560 Port Rd,Seabrook,TX,77586,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
C&C OATES YARD,,,5430 Oates Road,Houston,TX,77013,consignee," "," ",,NO," "
C&J LOGISTICAL SVCS.,,,9103 S Austin Dr,Pharr,TX,78577,consignee," "," ",,NO," "
C&L SUPPLY,,,1675 Saint Lucy Street,Bossier City,LA,71111,consignee," "," ",,NO," "
CABLEPRO LLC,,,925 Mollar,Alvin,TX,77511,consignee," "," ",,NO," "
CACTUS WELLHEAD C/O TRUE TURN MACHINE,,,4123 Meadow Ln,Bossier City,LA,71111,consignee," "," ",,NO," "
CALCOT WAREHOUSE KENEDY,,,124 MOURNING STREET,KENEDY,TEXAS,78119,consignee," "," ",,NO," "
CALIFORNIA DRIED FRUIT INC.,,,12650 FM830,Willis,TX,77318,consignee," "," ",,NO," "
CALLAN MARINE LTD,,,5700 Harborside Drive,Galveston,TX,77554,consignee," "," ",,NO," "
Camso,,,531 Portwall Street,Houston,TX,77029,consignee," "," ",,NO," "
CANAL CARTAGE,,,4121 Malone Dr,Pasadena,TX,77507,consignee," "," ",,NO," "
CANATURE HOUSTON,,,4861 S Sam Houston Pkwy E,Houston,TX,77048,consignee," "," ",,NO," "
CANCATURE HOUSTON,,,4861 S Sam Houston Pkwy E,Houston,TX,77048,consignee," "," ",,NO," "
CAP-TX 21DG,,,402 Deerwood Glen Drive,Deer Park,TX,77536,consignee," "," ",,NO," "
CAPSUM TX,,,3725 FM973,Del Valle,TX,78617,consignee," "," ",,NO," "
CARGOMATIC WAREHOUSE,,,6415 Mesa Drive,Houston,TX,77028,"shipper,containerReturn,consignee"," "," ",,NO," "
CARGOQUIN,,,11921 Hayter Road,Laredo,TX,78045,consignee," "," ",,NO," "
CARU CONTAINERS LLC,,,"15920 I-10 EAST FREEWAY,",CHANNELVIEW,TEXAS,77530,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
CaseStack Texas / DSV Solutions,,,3001 Midpoint Drive,Lancaster,TX,75134,consignee," "," ",,NO," "
CATALYST RECOVERY,,,"14342 WALTER KIMBROUGH,",Lacassine,LA,70650,consignee," "," ",,NO," "
CATALYST TRADING SERVICES LTD,,,4001 Oscar Nelson Junior Drive,Baytown,TX,77523,consignee," "," ",,NO," "
CB&EG INVESTMENTS LLC DBA PURERAIN PRODUCTS,,,1421 North Loop West,Houston,TX,77008,consignee," "," ",,NO," "
Cedar Inc,,,7834 Minonite Road,Richmond,TX,77469,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
CEDARS DISTRIBUTION (MOTHERLAND OLIVE OIL),,,2090 Afton Street,Houston,TX,77055,consignee," "," ",,NO," "
CELLA LOGISTICS-CITY PARK,,,8705 Citypark Loop,Houston,TX,77029,consignee," "," ",,NO," "
CELLA LOGISTIX-market,,,8850 MARKET,Houston,TX,77029,consignee," "," ",,NO," "
CELLINK CORPORATION,,,110 Wittera Way,Georgetown,TX,78626,consignee," "," ",,NO," "
CellMark,,,300 Farm to Market Road 1641,Forney,TX,75126,consignee," "," ",,NO," "
CELLMARK,,,300 Farm to Market Road 1641,Forney,TX,75126,consignee," "," ",,NO," "
CEMBRANE USA LLC,,,1120 New Technology Boulevard,Hutto,TX,78634,consignee," "," ",,NO," "
CERES INTERMODAL,,,1550 N J St,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
CETAU USA INC.,,,"123 S PINE STREET,",INDEPENDENCE,LA,70443,consignee," "," ",,NO," "
CEVA AIR & OCEAN,,,15355 Vickery Drive,Houston,TX,77032,consignee," "," ",,NO," "
CFL FLOORING INT'L UNLIMITED,,,8010 Kempwood Drive,Houston,TX,77055,consignee," "," ",,NO," "
CHADWELL SUPPLY,,,1842 S 16th St,La Porte,TX,77571,consignee," "," ",,NO," "
CHARGER LOGISTICS DALLAS,,,1333 West Wintergreen Road,Hutchins,TX,75141,consignee," "," ",,NO," "
CHEMPAK INTERNATIONAL,,,3647 Willowbend Boulevard,Houston,TX,77054,consignee," "," ",,NO," "
CHEMSPEC C/O PALMER WAREHOUSE,,,17350 Palmer Drive,Baytown,TX,77523,consignee," "," ",,NO," "
CHEVRON LUBRICANTS,,,W 7th St,Port Arthur,TX,77640,consignee," "," ",,NO," "
CHEVRON PHILLIPS CHEMICAL CO LP,,,9500 East Freeway,Baytown,TX,77521,consignee," "," ",,NO," "
Chevron Products,,,W 7th,Port Arthur,TX,77640,"consignee,shipper,containerReturn"," "," ",,NO," "
CHOICE PACKAGING GROUP,,,2176 French Settlement Rd,Dallas,TX,75212,consignee," "," ",,NO," "
CIERRA FASTACTION SERVICE,,,6546 Petropark Dr,Houston,TX,77041,consignee," "," ",,NO," "
CITY DOCKS,,,"111 E LOOP NORTH,",HOUSTON,TEXAS,77029,"shipper,containerReturn,consignee"," "," ",,NO," "
CLARK'S EXPORT PACKING,,,1211 Rankin Road,Houston,TX,77073,consignee," "," ",,NO," "
CLEAN HARBORS,,,802 Seaco Ct,Deer Park,TX,77536,"consignee,shipper,containerReturn"," "," ",,NO," "
CLEAN HARBORS- SAN LEON,,,2710 Avenue South,San Leon,TX,77539,consignee," "," ",,NO," "
CLEAN LIQUID SYSTEMS,,,20150 Kuykendahl Road,Spring,TX,77379,consignee," "," ",,NO," "
CLEAN LIQUID SYSTEMS,,,20150 Kuykendahl Road,Spring,TX,77379,consignee," "," ",,NO," "
CLEARWAY PINEFOREST,,,3301 N Dallas Ave,Lancaster,TX,75134,consignee," "," ",,NO," "
CLEMENTS FOOD,,,6601 N Harvey Pl,Oklahoma City,OK,73116,consignee," "," ",,NO," "
CLEMENTS NUT COMPANY,,,614 East Main Street,Lewisville,TX,75057,consignee," "," ",,NO," "
Cloud Network Technology USA INC,,,10640 Windfern Rd,Houston,TX,77064,consignee," "," ",,NO," "
CMC USA TECHNOLOGY,,,5854 Interstate 10,Alleyton,TX,78935,consignee," "," ",,NO," "
CMCA,,,12702 Port Rd,Pasadena,TX,77507,"chassisTermination,chassisPick,consignee,shipper,containerReturn"," "," ",,NO," "
CMS,,,8901 Jameel Road SUITE 170-DOCK- 10,Houston,TX,77040,consignee," "," ",,NO," "
CNC Cabinetry,,,2300 East Bardin Road,Arlington,TX,76018,consignee," "," ",,NO," "
COASTAL CONTAINER SERVICES,,,892 County Road 281,Alvin,TX,77511,consignee," "," ",,NO," "
COCANNON LUMBER COMPANY,,,5236 FIDELITY STREET HOUSTON,Houston,TX,77029,"consignee,shipper,containerReturn"," "," ",,NO," "
Cole & Ashcroft,,,5631 Brystone Drive,Houston,TX,77041,consignee," "," ",,NO," "
COLOPLAST A/S DISTRIBUTION CENTER,,,"4008 Heritage Dr BLDG 2,",Brookshire,TX,77423,consignee," "," ",,NO," "
COMMAND TUBULAR PRODUCTS,,Michael Murphy/brandon,18911 W Industrial Pkwy,New Caney,TX,77357,consignee," "," ",,NO," "
CON-TECH INTERNTIONAL INC,,,295 McCarty St,Houston,TX,77029,consignee," "," ",,NO," "
CON-TECH INTERNTIONAL INC - EAST FWY,,,9838 East Fwy,Houston,TX,77029,consignee," "," ",,NO," "
CONGLOBAL MAYO SHELL,,,500 Mayo Shell Rd,Houston,TX,77015,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
CONSOLIDATED CONTAINMENT,,,2070 Gulf Street,Beaumont,TX,77703,consignee," "," ",,NO," "
Construction and Mining,,,4620 U.S. 290,Dripping Springs,TX,78620,consignee," "," ",,NO," "
Continental Autonomous Mobility,,,440 Kohlenberg Rd,New Braunfels,TX,78130,consignee," "," ",,NO," "
CONTINENTAL BATTERY (HOU WHSE),,,4721 World Houston Pkwy,Houston,TX,77032,consignee," "," ",,NO," "
CONTINENTAL BATTERY STSEMS-IRVING,,,9500 N Royal Ln SUITE 150,Irving,TX,75063,consignee," "," ",,NO," "
CONTINENTAL BATTERY SYSTEMS,,,13760 Diplomat Dr,Farmers Branch,TX,75234,consignee," "," ",,NO," "
CONTINENTAL WAREHOUSE,,,715 North 2nd Street,Alvin,TX,77511,consignee," "," ",,NO," "
